year,season,Date,n_windows,p_cells_w_windows,decision,NOPS_PL,county,n_spatial_cells,bd_sens_min,sens_5percent,sens_10percent,sens_20percent,sens_25percent
2018,spring,2018-05-29,1195,0.917114351496546,B,1,Plumas,1303,1,1,1,1,1
2018,spring,2018-05-30,699,0.536454336147352,B,1,Plumas,1303,1,1,1,1,1
2018,spring,2018-05-31,151,0.115886415963162,B,1,Plumas,1303,1,1,1,0,0
2018,summer,2018-06-01,135,0.103607060629317,B,1,Plumas,1303,1,1,1,0,0
2018,summer,2018-06-02,2,0.00153491941673062,B,1,Plumas,1303,1,0,0,0,0
2018,summer,2018-06-03,0,0,B,1,Plumas,1303,0,0,0,0,0
2018,summer,2018-06-04,0,0,B,1,Plumas,1303,0,0,0,0,0
2018,summer,2018-06-05,0,0,B,1,Plumas,1303,0,0,0,0,0
2018,summer,2018-06-06,0,0,B,1,Plumas,1303,0,0,0,0,0
2018,summer,2018-06-07,0,0,B,1,Plumas,1303,0,0,0,0,0
2018,summer,2018-06-08,0,0,B,1,Plumas,1303,0,0,0,0,0
2018,summer,2018-06-09,99,0.0759785111281658,B,1,Plumas,1303,1,1,0,0,0
2018,summer,2018-06-10,37,0.0283960092095165,B,1,Plumas,1303,1,0,0,0,0
2018,summer,2018-06-11,11,0.00844205679201842,B,1,Plumas,1303,1,0,0,0,0
2018,summer,2018-06-12,0,0,B,1,Plumas,1303,0,0,0,0,0
2018,summer,2018-06-13,0,0,B,1,Plumas,1303,0,0,0,0,0
2018,summer,2018-06-14,0,0,B,1,Plumas,1303,0,0,0,0,0
2018,summer,2018-06-15,0,0,B,1,Plumas,1303,0,0,0,0,0
2018,summer,2018-06-16,38,0.0291634689178818,B,1,Plumas,1303,1,0,0,0,0
2018,summer,2018-06-17,190,0.145817344589409,B,1,Plumas,1303,1,1,1,0,0
2018,summer,2018-06-18,831,0.637759017651573,B,1,Plumas,1303,1,1,1,1,1
2018,summer,2018-06-19,570,0.437452033768227,B,1,Plumas,1303,1,1,1,1,1
2018,summer,2018-06-20,227,0.174213353798926,B,1,Plumas,1303,1,1,1,0,0
2018,summer,2018-06-21,20,0.0153491941673062,B,1,Plumas,1303,1,0,0,0,0
2018,summer,2018-06-22,0,0,NB,1,Plumas,1303,0,0,0,0,0
2018,summer,2018-06-23,0,0,NB,1,Plumas,1303,0,0,0,0,0
2018,summer,2018-06-24,0,0,NB,2,Plumas,1303,0,0,0,0,0
2018,summer,2018-06-25,0,0,NB,3,Plumas,1303,0,0,0,0,0
2018,summer,2018-06-26,0,0,NB,3,Plumas,1303,0,0,0,0,0
2018,summer,2018-06-27,0,0,NB,3,Plumas,1303,0,0,0,0,0
2018,summer,2018-06-28,0,0,B,3,Plumas,1303,0,0,0,0,0
2018,summer,2018-06-29,0,0,NB,3,Plumas,1303,0,0,0,0,0
2018,summer,2018-06-30,0,0,NB,3,Plumas,1303,0,0,0,0,0
2018,summer,2018-07-01,0,0,NB,3,Plumas,1303,0,0,0,0,0
2018,summer,2018-07-02,0,0,B,3,Plumas,1303,0,0,0,0,0
2018,summer,2018-07-03,0,0,B,3,Plumas,1303,0,0,0,0,0
2018,summer,2018-07-04,0,0,B,3,Plumas,1303,0,0,0,0,0
2018,summer,2018-07-05,0,0,B,3,Plumas,1303,0,0,0,0,0
2018,summer,2018-07-06,0,0,NB,3,Plumas,1303,0,0,0,0,0
2018,summer,2018-07-07,0,0,NB,3,Plumas,1303,0,0,0,0,0
2018,summer,2018-07-08,0,0,NB,3,Plumas,1303,0,0,0,0,0
2018,summer,2018-07-09,0,0,NB,3,Plumas,1303,0,0,0,0,0
2018,summer,2018-07-10,0,0,NB,3,Plumas,1303,0,0,0,0,0
2018,summer,2018-07-11,0,0,NB,3,Plumas,1303,0,0,0,0,0
2018,summer,2018-07-12,0,0,NB,3,Plumas,1303,0,0,0,0,0
2018,summer,2018-07-13,0,0,NB,3,Plumas,1303,0,0,0,0,0
2018,summer,2018-07-14,0,0,NB,3,Plumas,1303,0,0,0,0,0
2018,summer,2018-07-15,0,0,NB,3,Plumas,1303,0,0,0,0,0
2018,summer,2018-07-16,0,0,NB,3,Plumas,1303,0,0,0,0,0
2018,summer,2018-07-17,0,0,NB,3,Plumas,1303,0,0,0,0,0
2018,summer,2018-07-18,0,0,NB,3,Plumas,1303,0,0,0,0,0
2018,summer,2018-07-19,0,0,NB,3,Plumas,1303,0,0,0,0,0
2018,summer,2018-07-20,0,0,NB,3,Plumas,1303,0,0,0,0,0
2018,summer,2018-07-21,0,0,NB,3,Plumas,1303,0,0,0,0,0
2018,summer,2018-07-22,12,0.00920951650038373,NB,3,Plumas,1303,1,0,0,0,0
2018,summer,2018-07-23,8,0.00613967766692249,NB,3,Plumas,1303,1,0,0,0,0
2018,summer,2018-07-24,4,0.00306983883346124,NB,3,Plumas,1303,1,0,0,0,0
2018,summer,2018-07-25,0,0,NB,3,Plumas,1303,0,0,0,0,0
2018,summer,2018-07-26,0,0,NB,3,Plumas,1303,0,0,0,0,0
